,text,scores,user_flowers,fav_count,aspects
0,#Yemen is experiencing the worst humanitarian crisis in the world right now. It’s time to stop the flow of weapons… https://t.co/IiGIv1zhFn,3,852,0,warming
1,Nothing like a global Microsoft outage to start the week. https://t.co/PyN2PSVXqy,1,42,2,"global,warming,deal,coal"
2,@JTS_Global @blockchainshay @Befasterfit @europe_tron Great news #Befasterfit #JTSGlobal 🌍❤ #TRX #TERC,2,155,9,global
3,So many guys can possibly loose  overabundance of fat very quickly from using the foregoing method https://t.co/1P5D3dtuaK,1,8441,1,fossil
4,@presquevu_ @EthanOakwin @sovereignfamily @rivatez Science lovers are more likely to believe government Lies like “… https://t.co/0k2Rc7sucW,2,7190,1,environment
5,"“Global Connectedness, Social Inequality &amp; Pandemic” by @soumen4u
https://t.co/IZEla9Fc85",2,61,0,global
6,"@austinruse @dcexaminer @staceyabrams Never, not as long as Jews who run the media, global banks, Hollywood, and sc… https://t.co/vPiOepSgnv",2,61,1,global
7,new global #ElectricVehicles snapshot says average range jumped 14% since 2011 &amp; prices keep falling but manufactur… https://t.co/39iZnKOLSs,2,3375,0,global
8,"""Don't trust. Verify."" I have just given this masterpiece a new environment. @snowcrash0x @AsyncArt… https://t.co/ByWR8MfRRF",2,916,15,"warming,environment,fossil,global,deal,coal"
9,@NancyAmerican @RTerriers2 @DeplorableLj @a1flaherty @RhondoL @shawnt1973 Very cute! Losing a pet can be challengin… https://t.co/KTqctbKDCS,3,898,2,"global,warming,deal,coal"
10,"@gdwickham @vanOnselenP Right... and I wonder who’s fault that is, clearly someone doesn’t have their best interest… https://t.co/lBep3qX2Qg",3,76,0,"warming,environment,fossil"
11,"Have you been looking for a way to more easily migrate your existing workloads from legacy, on-premises data wareho… https://t.co/kqDclb3p9C",2,1832521,36,"global,warming,deal,coal"
12,@SkyeLevel7 @dmm12345 60% of individual differences in self-control were due to genetic differences between people… https://t.co/ODZoexcXYd,1,633,2,warming
13,"@Chrisquirk @GrogsGamut But I thought a massive, taxpayer underwritten expansion of the gas industry would save the environment?",2,94,0,"warming,environment,fossil,global,deal,coal"
14,an indigenous speaker at the CHAZ today made a point to talk about how justice for people of color and environmenta… https://t.co/bA7eHlKfAj,2,468,3,"global,warming,deal,coal,environment"
15,@sckarr1 @JoeBiden In November people will be voting for America or Trump.  Constitution or Trump.  Rule of law or… https://t.co/yScPhCxnT0,2,14,2,warming
16,everyone really just said fuck it and went back to living like we’re not still in a global pandemic..,1,112,1,"warming,global,deal,coal"
17,"As such, it demands a global multifaceted response, one which focuses on protecting the rights of older persons. Ap… https://t.co/zlLp32azsQ",2,449,0,"global,warming,deal,coal,environment"
